GGBS_kg_m3,GGBS_CaO_%,GGBS_SiO2_%,GGBS_Al2O3_%,GGBS_MgO_%,GGBS_Fe2O3_%,GGBS_SO3_%,FlyAsh_kg_m3,FA_CaO_%,FA_SiO2_%,FA_Al2O3_%,FA_MgO_%,FA_Fe2O3_%,FA_SO3_%,SF_kg_m3,SF_CaO_%,SF_SiO2_%,SF_Al2O3_%,SF_MgO_%,SF_Fe2O3_%,SF_SO3_%,Total NaOH (kg in 1m3 mix),Concentration (M) NaOH,Total Na2SiO3 (kg in 1m3 of mix),Coarse Aggregate (kg/m3),Fine Aggregates (kg/m3),Water (kg/m3),Activator_Binder_Ratio,Water_Binder_Ratio,Superplasticizer_%,SiO2 to Na2O (silicate modulus),Curing_Temperature,Relative Humidity,Condition,Length (mm),Breadth (mm),height (mm),CS 7 day (Mpa),CS 28 day (Mpa)
615.6,56.1,21.0,17.0,7.09,0.62,0.77,615.6,2.6,46.0,33.0,0.63,10.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.6,14.0,205.2,0.0,0.0,353.8,0.5,0.28,3.0,2.16,20.0,65.0,0,50.0,50.0,50.0,36.0,36.0
615.6,56.1,21.0,17.0,7.09,0.62,0.77,615.6,2.6,46.0,33.0,0.63,10.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.6,14.0,205.2,0.0,0.0,353.8,0.5,0.28,4.0,2.16,20.0,65.0,0,50.0,50.0,50.0,34.0,35.0
0.0,56.1,21.0,17.0,7.09,0.62,0.77,1176.6,2.6,46.0,33.0,0.63,10.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.1,14.0,196.1,0.0,0.0,338.1,0.5,0.28,4.0,2.16,20.0,65.0,0,50.0,50.0,50.0,33.0,3.0
362.7,56.1,21.0,17.0,7.09,0.62,0.77,846.2,2.6,46.0,33.0,0.63,10.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.6,14.0,201.5,0.0,0.0,347.3,0.5,0.28,4.0,2.16,20.0,65.0,0,50.0,50.0,50.0,34.0,35.0
878.1,56.1,21.0,17.0,7.09,0.62,0.77,376.3,2.6,46.0,33.0,0.63,10.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.7,14.0,209.1,0.0,0.0,360.5,0.5,0.28,4.0,2.16,20.0,65.0,0,50.0,50.0,50.0,34.0,55.0
1291.1,56.1,21.0,17.0,7.09,0.62,0.77,0.0,2.6,46.0,33.0,0.63,10.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.4,14.0,215.2,0.0,0.0,371.0,0.5,0.28,4.0,2.16,20.0,65.0,0,50.0,50.0,50.0,34.0,60.0
0.0,56.1,21.0,17.0,7.09,0.62,0.77,1176.6,2.6,46.0,33.0,0.63,10.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.1,14.0,196.1,0.0,0.0,338.1,0.5,0.28,4.0,2.16,20.0,65.0,0,50.0,50.0,50.0,34.0,3.0
362.7,56.1,21.0,17.0,7.09,0.62,0.77,846.2,2.6,46.0,33.0,0.63,10.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.6,14.0,201.5,0.0,0.0,347.3,0.5,0.28,4.0,2.16,20.0,65.0,0,50.0,50.0,50.0,34.0,35.0
878.1,56.1,21.0,17.0,7.09,0.62,0.77,376.3,2.6,46.0,33.0,0.63,10.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.7,14.0,209.1,0.0,0.0,360.5,0.5,0.28,4.0,2.16,20.0,65.0,0,50.0,50.0,50.0,34.0,55.0
1291.1,56.1,21.0,17.0,7.09,0.62,0.77,0.0,2.6,46.0,33.0,0.63,10.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.4,14.0,215.2,0.0,0.0,371.0,0.5,0.28,4.0,2.16,20.0,65.0,0,50.0,50.0,50.0,34.0,60.0
0.0,56.1,21.0,17.0,7.09,0.62,0.77,1176.6,2.6,46.0,33.0,0.63,10.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.1,14.0,196.1,0.0,0.0,338.1,0.5,0.28,1.0,2.16,20.0,65.0,0,50.0,50.0,50.0,34.0,3.0
0.0,56.1,21.0,17.0,7.09,0.62,0.77,1176.6,2.6,46.0,33.0,0.63,10.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.1,14.0,196.1,0.0,0.0,338.1,0.5,0.28,2.0,2.16,20.0,65.0,0,50.0,50.0,50.0,34.0,3.0
0.0,56.1,21.0,17.0,7.09,0.62,0.77,1176.6,2.6,46.0,33.0,0.63,10.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.1,14.0,196.1,0.0,0.0,338.1,0.5,0.28,3.0,2.16,20.0,65.0,0,50.0,50.0,50.0,34.0,35.0
362.7,56.1,21.0,17.0,7.09,0.62,0.77,846.2,2.6,46.0,33.0,0.63,10.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.6,14.0,201.5,0.0,0.0,347.3,0.5,0.28,1.0,2.16,20.0,65.0,0,50.0,50.0,50.0,34.0,36.0
362.7,56.1,21.0,17.0,7.09,0.62,0.77,846.2,2.6,46.0,33.0,0.63,10.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.6,14.0,201.5,0.0,0.0,347.3,0.5,0.28,2.0,2.16,20.0,65.0,0,50.0,50.0,50.0,34.0,36.0
362.7,56.1,21.0,17.0,7.09,0.62,0.77,846.2,2.6,46.0,33.0,0.63,10.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.6,14.0,201.5,0.0,0.0,347.3,0.5,0.28,3.0,2.16,20.0,65.0,0,50.0,50.0,50.0,34.0,55.0
878.1,56.1,21.0,17.0,7.09,0.62,0.77,376.3,2.6,46.0,33.0,0.63,10.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.7,14.0,209.1,0.0,0.0,360.5,0.5,0.28,1.0,2.16,20.0,65.0,0,50.0,50.0,50.0,34.0,55.0
878.1,56.1,21.0,17.0,7.09,0.62,0.77,376.3,2.6,46.0,33.0,0.63,10.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.7,14.0,209.1,0.0,0.0,360.5,0.5,0.28,2.0,2.16,20.0,65.0,0,50.0,50.0,50.0,34.0,55.0
878.1,56.1,21.0,17.0,7.09,0.62,0.77,376.3,2.6,46.0,33.0,0.63,10.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.7,14.0,209.1,0.0,0.0,360.5,0.5,0.28,3.0,2.16,20.0,65.0,0,50.0,50.0,50.0,34.0,60.0
1291.1,56.1,21.0,17.0,7.09,0.62,0.77,0.0,2.6,46.0,33.0,0.63,10.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.4,14.0,215.2,0.0,0.0,371.0,0.5,0.28,1.0,2.16,20.0,65.0,0,50.0,50.0,50.0,34.0,60.0
